Summary,Issue Type,Priority,Epic Name,Epic Link,Sprint,Story Points,Labels,Description
"Add language selector in navbar with preference persistence",Story,Medium,,Multi-language & Localization,Sprint 6,3,i18n,"Language dropdown in navbar. Options: English, Hindi (add more later). On change: update UI language, save preference to user profile via API, persist across sessions."
"Implement prescription translation - display instructions in patient's language",Story,Medium,,Multi-language & Localization,Sprint 7,5,i18n prescriptions,"Translate medicine instructions (dosage, frequency, timing) into patient's preferred language. E.g., 'Take 1 tablet twice daily after food' → Hindi equivalent. Use structured translations."
"Add RTL support for Urdu language",Story,Low,,Multi-language & Localization,Sprint 11,5,i18n,"Add RTL (right-to-left) CSS support. Use dir='rtl' attribute. Ensure all layouts, forms, and text render correctly in RTL mode. Test with Urdu translations."
"Create translation management admin page",Story,Low,,Multi-language & Localization,Sprint 10,5,i18n admin,"Admin page showing all translation keys. Side-by-side English + target language. Admin can edit translations inline. Export/import translation files."
"Set up email service integration (SendGrid or AWS SES)",Story,High,,Notifications & Communication,Sprint 5,5,notifications,"Configure email provider. Create email sending service in backend. Support HTML templates. Handle bounces and delivery status. Environment-based configuration."
"Build email notification templates - welcome, prescription ready, appointment reminder",Story,High,,Notifications & Communication,Sprint 5,5,notifications,"Design and build HTML email templates: welcome email (on signup), prescription ready (when doctor creates prescription), appointment reminder (24h before), password reset. Responsive design."
"Implement SMS notifications via Indian gateway (MSG91 or Twilio)",Story,Medium,,Notifications & Communication,Sprint 6,5,notifications,"Integrate SMS gateway for India. Send: OTP codes, appointment reminders, prescription ready alerts. Respect DND preferences. Template-based SMS with sender ID."
"Add WhatsApp Business API integration",Story,Medium,,Notifications & Communication,Sprint 8,8,notifications,"Integrate WhatsApp Business API for: prescription sharing (PDF), appointment reminders, two-way messaging. Use approved message templates. Handle opt-in/opt-out."
"Build in-app notification system with unread count badge",Story,High,,Notifications & Communication,Sprint 5,8,notifications,"Notifications table (user_id, type, title, message, read, created_at). Bell icon in navbar with unread count. Dropdown showing recent notifications. Mark as read on click. Full notifications page."
"Create notification preferences page",Story,Medium,,Notifications & Communication,Sprint 6,5,notifications,"Settings page where users choose: which notifications to receive (appointments, prescriptions, reminders) and via which channel (in-app, email, SMS, WhatsApp). Store in user_notification_prefs table."
"Implement push notifications for web (Service Workers / Web Push API)",Story,Low,,Notifications & Communication,Sprint 9,8,notifications,"Set up VAPID keys. Register service worker. Prompt user for push permission. Send push notifications for time-sensitive alerts (appointment in 1 hour, prescription ready)."
"Add real-time notifications using WebSocket or Server-Sent Events",Story,Medium,,Notifications & Communication,Sprint 7,8,notifications,"Implement WebSocket endpoint (or SSE) for real-time notification delivery. Frontend connects on login. New notifications appear instantly without page refresh."
"Implement field-level encryption for sensitive medical data (PHI) at rest",Story,High,,Security & Compliance,Sprint 6,8,security,"Encrypt sensitive fields (diagnosis, clinical notes, medicine details) before storing in DB. Use AES-256 with key management. Decrypt on read. Transparent to application logic."
"Add rate limiting on all API endpoints",Story,Highest,,Security & Compliance,Sprint 3,5,security,"Implement rate limiting using Redis. Limits: 100 req/min per user for reads, 20 req/min for writes, 5 req/min for auth endpoints. Return 429 with Retry-After header."
"Implement RBAC audit - verify all endpoints have proper role checks",Task,High,,Security & Compliance,Sprint 4,3,security,"Audit every API endpoint. Verify: auth dependency applied, correct role check (patient/doctor/admin), no endpoint accessible without authentication. Document findings and fix gaps."
"Add CSRF protection for state-changing operations",Story,High,,Security & Compliance,Sprint 4,3,security,"Implement CSRF token validation for all POST/PUT/DELETE endpoints. Generate token on session init. Validate on every state-changing request. SameSite cookie configuration."
"Build data retention policy enforcement",Story,Medium,,Security & Compliance,Sprint 8,5,security,"Configurable retention period (e.g., 7 years for medical records per Indian regulations). Auto-archive records past retention. Admin can configure per record type. Never auto-delete, only archive."
"Implement IP-based access logging and suspicious activity detection",Story,Medium,,Security & Compliance,Sprint 7,5,security,"Log IP address, user agent, and geolocation for every authenticated request. Detect anomalies: multiple failed logins, unusual location, rapid requests. Alert admin on suspicious patterns."
"Add two-factor authentication support via Keycloak (TOTP/SMS)",Story,High,,Security & Compliance,Sprint 6,5,security,"Enable TOTP (Time-based One-Time Password) in Keycloak. Add 2FA setup flow in user profile. Require 2FA for admin and doctor roles. Support authenticator apps (Google Authenticator, Authy)."
"Create security compliance dashboard for admin",Story,Low,,Security & Compliance,Sprint 9,8,security admin,"Dashboard showing compliance status: DISHA compliance checklist, encryption status, 2FA adoption rate, access audit findings, data retention status. Exportable compliance report."
"Write unit tests for all backend services - target 80% coverage",Story,Highest,,Testing & Quality,Sprint 2,8,testing,"Write pytest unit tests for record_service.py and prescription_service.py. Mock database sessions. Test: create, retrieve, list, pagination, filtering, error cases. Use pytest-cov for coverage reporting."
"Write API integration tests for all endpoints using pytest + httpx",Story,Highest,,Testing & Quality,Sprint 3,8,testing,"Integration tests hitting actual API endpoints with test database. Test: auth flow, patient endpoints, doctor endpoints. Verify response schemas, status codes, pagination, error responses."
"Set up frontend unit tests with Jest + React Testing Library",Story,High,,Testing & Quality,Sprint 4,5,testing,"Configure Jest and RTL in Next.js frontend. Write tests for: AuthGuard component, Navbar, timeline page, record detail page, prescription form. Mock API calls with MSW."
"Create end-to-end tests with Playwright for critical flows",Story,High,,Testing & Quality,Sprint 5,8,testing,"E2E tests covering: login flow, patient views timeline, patient views record detail, doctor creates record, doctor creates prescription. Run against full Docker Compose stack."
"Add load testing scripts using Locust or k6 - simulate 1000 concurrent users",Story,Medium,,Testing & Quality,Sprint 7,5,testing,"Write load test scenarios: concurrent timeline fetches, concurrent record creation, medicine search under load. Target: <200ms p95 latency at 1000 concurrent users. Identify bottlenecks."
"Set up CI/CD pipeline with GitHub Actions - lint, test, build, deploy",Story,Highest,,Testing & Quality,Sprint 3,8,testing devops,"GitHub Actions workflow: on PR - run linters (ruff, eslint), run unit tests, run integration tests, build Docker images. On merge to main - deploy to staging. Required status checks."
"Add pre-commit hooks - linting, formatting, type checking",Task,High,,Testing & Quality,Sprint 2,3,testing,"Set up pre-commit with hooks: ruff (Python lint + format), eslint + prettier (TypeScript), mypy (Python type check), pyright (optional). Create .pre-commit-config.yaml."
"Create test data seeding script with realistic sample data",Story,High,,Testing & Quality,Sprint 2,5,testing,"Python script to populate dev DB: 5 doctors (various specializations), 20 patients, 100 medical records (various types), 50 prescriptions, 1000 medicines. Realistic Indian names and data."
"Set up staging environment with Docker Compose on cloud VM",Story,High,,Infrastructure & DevOps,Sprint 4,5,devops,"Provision cloud VM (AWS EC2 or DigitalOcean). Deploy full stack via Docker Compose. Configure DNS subdomain (staging.medconnect.app). Set up SSL with Let's Encrypt."
"Configure production deployment with Kubernetes or Docker Swarm",Story,Medium,,Infrastructure & DevOps,Sprint 8,13,devops,"Create Kubernetes manifests (Deployments, Services, Ingress) or Docker Swarm stack. Configure horizontal pod autoscaling. Set up production secrets management."
"Set up centralized logging with ELK stack or Loki + Grafana",Story,Medium,,Infrastructure & DevOps,Sprint 7,8,devops,"Collect structured JSON logs from all services. Set up Loki (or ELK) for log aggregation. Grafana dashboards for log visualization. Configure log retention (30 days)."
"Configure application monitoring with Prometheus + Grafana",Story,High,,Infrastructure & DevOps,Sprint 6,8,devops,"Instrument FastAPI with prometheus-fastapi-instrumentator. Metrics: request latency, error rate, DB connection pool, Redis hit rate. Grafana dashboards with alerts."
"Set up automated database backups with point-in-time recovery",Story,Highest,,Infrastructure & DevOps,Sprint 4,5,devops,"Daily automated pg_dump backups to S3. Enable WAL archiving for point-in-time recovery. Test restore procedure. Retention: 30 daily, 12 monthly backups."
"Implement S3-compatible object storage for file uploads",Story,High,,Infrastructure & DevOps,Sprint 5,5,devops,"Set up MinIO (self-hosted) or AWS S3 for document storage. Create upload/download service in backend. Pre-signed URLs for secure client-side uploads. Bucket policies and lifecycle rules."
"Add Redis caching layer for frequently accessed data",Story,Medium,,Infrastructure & DevOps,Sprint 5,5,devops,"Cache: medicine search results (5 min TTL), user profiles (10 min), dashboard statistics (1 min). Cache invalidation on write. Use existing Redis instance. Measure cache hit rates."
"Build admin analytics page - registrations, active users, records per day",Story,Medium,,Analytics & Reporting,Sprint 6,8,analytics admin,"Admin analytics page with charts: new user registrations (daily/weekly/monthly), DAU/WAU/MAU, records created per day by type, prescription count trends. Date range selector."
"Create doctor performance reports",Story,Low,,Analytics & Reporting,Sprint 8,5,analytics doctor,"Report per doctor: records created per week, patients seen, average prescriptions per visit, patient satisfaction rating. Exportable as PDF. Visible to admin and individual doctor."
"Build patient health report generator - PDF with charts",Story,Medium,,Analytics & Reporting,Sprint 7,8,analytics patient,"Generate comprehensive patient health report PDF: demographics, medical history, chronological records summary, active prescriptions, vitals trends (if tracked), allergies. Shareable with new doctors."
"Add platform usage metrics collection for product decisions",Story,Low,,Analytics & Reporting,Sprint 9,5,analytics,"Track anonymized usage: most used features, search queries, drop-off points, page load times, error rates by page. Store in analytics table. Admin dashboard for viewing trends."
